timestamp,latitude,longitude,altitude_km,velocity_km_h
2025-11-01 20:31:49,47.569539887955,54.996495928085,421.22879789791,27595.255601357
2025-11-01 20:32:50,49.012738868104,60.244819358602,421.76526049764,27594.262176865
2025-11-01 20:33:51,50.178949338458,65.787213473574,422.24507769601,27593.265573505
2025-11-01 20:34:51,51.031304533592,71.48277715658,422.65458593667,27592.2941315
2025-11-01 20:35:52,51.577807348405,77.457283542854,423.0017648054,27591.325590367
2025-11-01 20:36:53,51.787751558699,83.535295464246,423.27524135294,27590.384326667
2025-11-01 20:37:53,51.660524970269,89.524365368689,423.47020430556,27589.490724547
2025-11-01 20:38:54,51.195368807886,95.531187680485,423.59279680442,27588.618403758
2025-11-01 20:39:55,50.403744534277,101.3700893628,423.64060180264,27587.783664981
2025-11-01 20:40:55,49.325387384905,106.8820394888,423.61780734594,27586.99814894
2025-11-01 20:41:56,47.948475149532,112.20232817662,423.52852866294,27586.232376927
2025-11-01 20:42:56,46.344502293848,117.12913332107,423.38199148686,27585.506285398
2025-11-01 20:43:57,44.487787194287,121.81681042213,423.18117507732,27584.788587842
2025-11-01 20:44:58,42.430534693027,126.18514717125,422.9372957885,27584.08282933
2025-11-01 20:45:59,40.198531901338,130.24909480617,422.66069139759,27583.378917151
2025-11-01 20:47:00,37.815297287791,134.03019613268,422.36257097658,27582.665740685
2025-11-01 20:48:01,35.301859946077,137.55355903027,422.05477619643,27581.931497614
2025-11-01 20:49:02,32.676793181795,140.84564387118,421.74953054214,27581.164041223
2025-11-01 20:50:02,30.001670420961,143.88370918278,421.46375276033,27580.3649884
2025-11-01 20:51:03,27.201382860939,146.79404936898,421.19995379118,27579.496088354
2025-11-01 20:52:04,24.332270709608,149.54833825476,420.9748528866,27578.559188375
2025-11-01 20:53:05,21.405309107591,152.16885678269,420.79958963611,27577.544270148
2025-11-01 20:54:06,18.430207642893,154.67623767942,420.68439576777,27576.442684754
2025-11-01 20:55:07,15.41563121494,157.08957961433,420.63836492273,27575.247443899
2025-11-01 20:56:08,12.36940783654,159.42661634617,420.66924402863,27573.953483528
2025-11-01 20:57:09,9.2986932723202,161.70393576718,420.78325021787,27572.557881907
2025-11-01 20:58:09,6.2608772492252,163.90086247442,420.98088806023,27571.085415667
2025-11-01 20:59:10,3.1608947519407,166.1053925534,421.27145508455,27569.488821164
2025-11-01 21:00:11,0.055285906734352,168.29509542174,421.65326201835,27567.796170332
2025-11-01 21:01:12,-3.0500360130494,170.48423738405,422.12525312075,27566.014409375
2025-11-01 21:02:13,-6.1491600522922,172.68706703899,422.68443119575,27564.153051559
2025-11-01 21:03:13,-9.1856009177768,174.88117180357,423.31474511375,27562.256194975
2025-11-01 21:04:14,-12.254420496284,177.15438634317,424.03056585102,27560.274778456
2025-11-01 21:05:15,-15.298309744953,179.48597486317,424.81359622908,27558.256449868
2025-11-01 21:06:15,-18.261118998363,-178.14774892128,425.63961678349,27556.253185697
2025-11-01 21:07:16,-21.233996988245,-175.65058737225,426.52486103192,27554.218209304
2025-11-01 21:08:17,-24.158763800814,-173.04244339809,427.4433356332,27552.206511497
2025-11-01 21:09:17,-26.979407845165,-170.34902830455,428.3659162983,27550.272638387
2025-11-01 21:10:18,-29.779348154231,-167.45889218446,429.30913838855,27548.375381885
2025-11-01 21:11:19,-32.498870543136,-164.39221793681,430.24284359858,27546.571367742
2025-11-01 21:12:19,-35.081843667817,-161.1793278098,431.13727308742,27544.911129935
2025-11-01 21:13:20,-37.598674678084,-157.68745001708,432.00735540847,27543.362554025
2025-11-01 21:14:21,-39.987378602404,-153.94220119398,432.82316220949,27541.977084064
2025-11-01 21:15:21,-42.192022351531,-149.98689018939,433.55886905344,27540.794359567
2025-11-01 21:16:22,-44.263447391472,-145.66819299046,434.22581427498,27539.794671305
2025-11-01 21:17:23,-46.138422755439,-141.03401054947,434.79884193468,27539.017364543
2025-11-01 21:18:24,-47.789971622129,-136.07849154897,435.26695655263,27538.478235008
2025-11-01 21:19:25,-49.190315804909,-130.80974008235,435.62066742957,27538.190505033
2025-11-01 21:20:25,-50.296325429047,-125.3469191655,435.84938756588,27538.162834515
2025-11-01 21:21:26,-51.120656243067,-119.55355139001,435.95482129672,27538.401562609
2025-11-01 21:22:27,-51.622731193933,-113.58484905821,435.92806012871,27538.913486428
2025-11-01 21:23:27,-51.789645094271,-107.62356428562,435.77077596481,27539.684345896
2025-11-01 21:24:28,-51.622467074444,-101.56228815176,435.47772893576,27540.737317035
2025-11-01 21:25:29,-51.120001108012,-95.592478148125,435.05250981972,27542.055851821
2025-11-01 21:26:29,-50.311065303802,-89.890571099431,434.50932873065,27543.602813152
2025-11-01 21:27:30,-49.188080619309,-84.332322011997,433.83612815846,27545.417371434
2025-11-01 21:28:31,-47.786368735955,-79.06095392242,433.04896098975,27547.460155061
2025-11-01 21:29:32,-46.133001010052,-74.102592292352,432.15766204965,27549.712581651
2025-11-01 21:30:33,-44.255731682922,-69.465449217746,431.17370728726,27552.153408401
2025-11-01 21:31:34,-42.181528738231,-65.143745327591,430.11003186973,27554.759024372
2025-11-01 21:32:34,-39.973688885403,-61.185482454985,428.99977958054,27557.457814344
2025-11-01 21:33:36,-37.540936473523,-57.377995909933,427.80126823167,27560.360401629
2025-11-01 21:34:36,-35.060312274522,-53.942445875354,426.60743171142,27563.251586017
2025-11-01 21:35:37,-32.428937833858,-50.67481874259,425.37574546267,27566.244711691
2025-11-01 21:36:38,-29.703083820164,-47.608339356777,424.14254137505,27569.262377935
